
#DIST_PS
bin_start	bin_end	count	count_per_bp	count_fraction
1	1	131370	131370	0.00140503
1	1	62085	62085	0.000664014
2	2	36558	36558	0.000390997
3	4	59120	29560	0.000632303
5	5	25346	25346	0.000271082
6	6	22875	22875	0.000244654
7	9	45279	15093	0.00048427
10	11	64605	32302.5	0.000690966
12	14	67270	22423.3	0.000719469
15	18	91412	22853	0.000977673
19	24	145478	24246.3	0.00155592
25	30	158670	26445	0.00169701
31	38	234332	29291.5	0.00250624
39	49	370205	33655	0.00395943
50	62	520265	40020.4	0.00556436
63	78	782295	48893.4	0.00836683
79	99	1230368	58589	0.0131591
100	124	2094158	83766.3	0.0223975
125	157	3654217	110734	0.0390827
158	198	6203021	151293	0.0663428
199	250	9821606	188877	0.105044
251	315	12148124	186894	0.129927
316	397	12369662	150850	0.132297
398	500	9626902	93465.1	0.102962
501	629	5690295	44110.8	0.0608591
630	793	2535112	15458	0.0271136
794	999	978038	4747.76	0.0104604
1000	1257	613414	2377.57	0.00656061
1258	1583	598870	1837.02	0.00640506
1584	1994	641058	1559.75	0.00685627
1995	2510	670841	1300.08	0.00717481
2511	3161	702152	1078.57	0.00750969
3162	3980	734649	897.007	0.00785725
3981	5010	742544	720.917	0.00794169
5011	6308	738093	568.639	0.00789408
6309	7942	710977	435.114	0.00760407
7943	9999	678837	330.013	0.00726033
10000	12588	653628	252.463	0.00699071
12589	15847	634353	194.647	0.00678456
15848	19951	630672	153.673	0.00674519
19952	25117	632965	122.525	0.00676971
25118	31621	640080	98.4133	0.00684581
31622	39809	651424	79.5584	0.00696714
39810	50117	660420	64.0687	0.00706335
50118	63094	672468	51.82	0.00719221
63095	79431	678827	41.5515	0.00726022
79432	99999	685730	33.3397	0.00733405
100000	125891	685014	26.4566	0.00732639
125892	158488	677300	20.778	0.00724389
158489	199525	662495	16.1438	0.00708554
199526	251187	643284	12.4518	0.00688008
251188	316226	619554	9.52588	0.00662628
316227	398106	589727	7.20233	0.00630727
398107	501186	557049	5.40405	0.00595777
501187	630956	523683	4.03547	0.00560092
630957	794327	492784	3.01635	0.00527044
794328	999999	466527	2.26831	0.00498962
1000000	1258924	447578	1.7286	0.00478696
1258925	1584892	432888	1.32801	0.00462984
1584893	1995261	423387	1.03172	0.00452823
1995262	2511885	419999	0.812968	0.00449199
2511886	3162276	427710	0.65762	0.00457446
3162277	3981070	436179	0.532709	0.00466504
3981071	5011871	434519	0.421535	0.00464729
5011872	6309572	427622	0.329523	0.00457352
6309573	7943281	409317	0.250545	0.00437774
7943282	9999999	364790	0.177365	0.00390152
10000000	12589253	304751	0.117698	0.00325939
12589254	15848930	224604	0.0689038	0.00240219
15848931	19952622	141494	0.0344797	0.00151331
19952623	25118863	72125	0.0139608	0.000771394
25118864	31622775	50327	0.00773796	0.000538259
31622776	39810716	23261	0.00284089	0.000248782
39810717	50118722	880	8.53705e-05	9.41181e-06

#DIST_FF
bin_start	bin_end	count	count_per_bp	count_fraction
1	1	194	194	4.11505e-05
1	1	28	28	5.93924e-06
2	2	23	23	4.87867e-06
3	4	43	21.5	9.12098e-06
5	5	28	28	5.93924e-06
6	6	131	131	2.77872e-05
7	9	26	8.66667	5.51501e-06
10	11	42	21	8.90887e-06
12	14	48	16	1.01816e-05
15	18	42	10.5	8.90887e-06
19	24	59	9.83333	1.25148e-05
25	30	74	12.3333	1.56966e-05
31	38	81	10.125	1.71814e-05
39	49	151	13.7273	3.20295e-05
50	62	240	18.4615	5.09078e-05
63	78	374	23.375	7.93313e-05
79	99	687	32.7143	0.000145724
100	124	3516	140.64	0.000745799
125	157	9992	302.788	0.00211946
158	198	16123	393.244	0.00341994
199	250	22261	428.096	0.00472191
251	315	27011	415.554	0.00572946
316	397	34740	423.659	0.00736891
398	500	40407	392.301	0.00857097
501	629	49919	386.969	0.0105886
630	793	59662	363.793	0.0126553
794	999	68770	333.835	0.0145872
1000	1257	78402	303.884	0.0166303
1258	1583	89444	274.368	0.0189725
1584	1994	100461	244.431	0.0213094
1995	2510	111419	215.928	0.0236337
2511	3161	120808	185.573	0.0256253
3162	3980	128087	156.394	0.0271693
3981	5010	132021	128.176	0.0280038
5011	6308	132560	102.126	0.0281181
6309	7942	128604	78.705	0.027279
7943	9999	123391	59.9859	0.0261732
10000	12588	119076	45.993	0.0252579
12589	15847	115699	35.5014	0.0245416
15848	19951	115739	28.2015	0.0245501
19952	25117	116314	22.5153	0.024672
25118	31621	116956	17.9822	0.0248082
31622	39809	119222	14.5606	0.0252889
39810	50117	121064	11.7447	0.0256796
50118	63094	124072	9.56092	0.0263176
63095	79431	124561	7.62447	0.0264214
79432	99999	126010	6.12651	0.0267287
100000	125891	126111	4.87066	0.0267501
125892	158488	124427	3.81713	0.0263929
158489	199525	122250	2.97902	0.0259312
199526	251187	118786	2.29929	0.0251964
251188	316226	114730	1.76402	0.0243361
316227	398106	109597	1.33851	0.0232473
398107	501186	103922	1.00817	0.0220435
501187	630956	97660	0.752562	0.0207152
630957	794327	92375	0.565431	0.0195942
794328	999999	86582	0.420971	0.0183654
1000000	1258924	82809	0.319818	0.0175651
1258925	1584892	80531	0.247052	0.0170819
1584893	1995261	78500	0.191291	0.0166511
1995262	2511885	78451	0.151853	0.0166407
2511886	3162276	79964	0.122948	0.0169616
3162277	3981070	81441	0.0994646	0.0172749
3981071	5011871	81226	0.0787989	0.0172293
5011872	6309572	79818	0.0615072	0.0169307
6309573	7943281	76126	0.046597	0.0161475
7943282	9999999	67893	0.0330104	0.0144012
10000000	12589253	56712	0.0219028	0.0120295
12589254	15848930	41988	0.012881	0.00890632
15848931	19952622	26482	0.00645321	0.00561725
19952623	25118863	13505	0.00261409	0.00286463
25118864	31622775	9397	0.00144482	0.00199325
31622776	39810716	4374	0.0005342	0.000927795
39810717	50118722	165	1.6007e-05	3.49991e-05

#DIST_FR
bin_start	bin_end	count	count_per_bp	count_fraction
1	1	23197	23197	0.000312969
1	1	21841	21841	0.000294674
2	2	21144	21144	0.000285271
3	4	41946	20973	0.000565927
5	5	18752	18752	0.000252998
6	6	18530	18530	0.000250003
7	9	37726	12575.3	0.000508991
10	11	57395	28697.5	0.000774362
12	14	60874	20291.3	0.0008213
15	18	83711	20927.8	0.00112941
19	24	135368	22561.3	0.00182636
25	30	149436	24906	0.00201616
31	38	223097	27887.1	0.00300998
39	49	356477	32407	0.00480951
50	62	505115	38855	0.00681491
63	78	764948	47809.2	0.0103205
79	99	1209829	57610.9	0.0163228
100	124	2062504	82500.2	0.0278269
125	157	3579157	108459	0.0482893
158	198	6131435	149547	0.0827241
199	250	9735432	187220	0.131348
251	315	12043459	185284	0.162488
316	397	12233822	149193	0.165056
398	500	9461985	91863.9	0.127659
501	629	5484900	42518.6	0.0740012
630	793	2293081	13982.2	0.0309378
794	999	698031	3388.5	0.00941769
1000	1257	296491	1149.19	0.0040002
1258	1583	238050	730.215	0.00321172
1584	1994	235184	572.224	0.00317305
1995	2510	223768	433.659	0.00301903
2511	3161	217506	334.111	0.00293455
3162	3980	220219	268.888	0.00297115
3981	5010	214004	207.771	0.0028873
5011	6308	208220	160.416	0.00280926
6309	7942	195602	119.707	0.00263902
7943	9999	181666	88.316	0.002451
10000	12588	172866	66.7694	0.00233227
12589	15847	165707	50.846	0.00223569
15848	19951	163429	39.8219	0.00220495
19952	25117	162347	31.4261	0.00219035
25118	31621	164559	25.3012	0.0022202
31622	39809	166737	20.3636	0.00224958
39810	50117	168147	16.3123	0.00226861
50118	63094	171310	13.201	0.00231128
63095	79431	173008	10.5899	0.00233419
79432	99999	173705	8.4454	0.00234359
100000	125891	174188	6.72748	0.00235011
125892	158488	170969	5.24493	0.00230668
158489	199525	168059	4.0953	0.00226742
199526	251187	162023	3.13621	0.00218598
251188	316226	156662	2.40874	0.00211365
316227	398106	148235	1.81039	0.00199996
398107	501186	140148	1.3596	0.00189085
501187	630956	131108	1.01031	0.00176888
630957	794327	123360	0.755091	0.00166435
794328	999999	117309	0.570369	0.00158271
1000000	1258924	112345	0.43389	0.00151574
1258925	1584892	109346	0.33545	0.00147527
1584893	1995261	106008	0.258324	0.00143024
1995262	2511885	105322	0.203866	0.00142098
2511886	3162276	106374	0.163554	0.00143518
3162277	3981070	109271	0.133454	0.00147426
3981071	5011871	108246	0.105012	0.00146043
5011872	6309572	106595	0.0821414	0.00143816
6309573	7943281	102576	0.0627872	0.00138393
7943282	9999999	91540	0.0445078	0.00123504
10000000	12589253	76153	0.0294112	0.00102744
12589254	15848930	55834	0.0171287	0.000753301
15848931	19952622	35298	0.00860152	0.000476233
19952623	25118863	18031	0.00349016	0.000243271
25118864	31622775	12496	0.00192131	0.000168593
31622776	39810716	5728	0.000699565	7.7281e-05
39810717	50118722	175	1.69771e-05	2.36106e-06

#DIST_RF
bin_start	bin_end	count	count_per_bp	count_fraction
1	1	107873	107873	0.0162773
1	1	40119	40119	0.00605368
2	2	15312	15312	0.00231048
3	4	16965	8482.5	0.0025599
5	5	6475	6475	0.000977033
6	6	4147	4147	0.000625754
7	9	7361	2453.67	0.00111072
10	11	6956	3478	0.00104961
12	14	6150	2050	0.000927993
15	18	7385	1846.25	0.00111435
19	24	9616	1602.67	0.00145099
25	30	8711	1451.83	0.00131443
31	38	10506	1313.25	0.00158528
39	49	12668	1151.64	0.00191152
50	62	13642	1049.38	0.00205848
63	78	15247	952.938	0.00230067
79	99	17318	824.667	0.00261317
100	124	23448	937.92	0.00353814
125	157	33730	1022.12	0.00508963
158	198	25936	632.585	0.00391357
199	250	26643	512.365	0.00402025
251	315	29831	458.938	0.00450129
316	397	39340	479.756	0.00593614
398	500	50849	493.68	0.00767277
501	629	65443	507.31	0.0098749
630	793	76625	467.226	0.0115622
794	999	88857	431.345	0.0134079
1000	1257	100204	388.388	0.0151201
1258	1583	114839	352.267	0.0173284
1584	1994	129768	315.737	0.0195811
1995	2510	142195	275.572	0.0214563
2511	3161	154021	236.591	0.0232407
3162	3980	163925	200.153	0.0247352
3981	5010	169800	164.854	0.0256217
5011	6308	170368	131.254	0.0257074
6309	7942	167624	102.585	0.0252933
7943	9999	163171	79.3247	0.0246214
10000	12588	159290	61.5257	0.0240358
12589	15847	155871	47.8279	0.0235199
15848	19951	156714	38.1857	0.0236471
19952	25117	158289	30.6405	0.0238847
25118	31621	160861	24.7326	0.0242728
31622	39809	164167	20.0497	0.0247717
39810	50117	166489	16.1514	0.0251221
50118	63094	169092	13.0301	0.0255148
63095	79431	170641	10.4451	0.0257486
79432	99999	173317	8.42654	0.0261524
100000	125891	172598	6.66607	0.0260439
125892	158488	171899	5.27346	0.0259384
158489	199525	166159	4.049	0.0250723
199526	251187	162203	3.1397	0.0244753
251188	316226	156006	2.39865	0.0235402
316227	398106	147842	1.80559	0.0223084
398107	501186	139249	1.35088	0.0210117
501187	630956	131359	1.01224	0.0198212
630957	794327	123331	0.754914	0.0186098
794328	999999	117088	0.569295	0.0176678
1000000	1258924	112261	0.433566	0.0169394
1258925	1584892	108374	0.332468	0.0163529
1584893	1995261	106458	0.25942	0.0160638
1995262	2511885	104945	0.203136	0.0158355
2511886	3162276	107246	0.164895	0.0161827
3162277	3981070	109027	0.133156	0.0164514
3981071	5011871	108832	0.10558	0.016422
5011872	6309572	107183	0.0825945	0.0161732
6309573	7943281	102329	0.062636	0.0154407
7943282	9999999	90781	0.0441388	0.0136982
10000000	12589253	76575	0.0295742	0.0115546
12589254	15848930	55777	0.0171112	0.00841637
15848931	19952622	35277	0.00859641	0.00532306
19952623	25118863	17982	0.00348067	0.00271336
25118864	31622775	12604	0.00193791	0.00190186
31622776	39810716	5779	0.000705794	0.000872012
39810717	50118722	241	2.33799e-05	3.63653e-05

#DIST_RR
bin_start	bin_end	count	count_per_bp	count_fraction
1	1	106	106	1.31861e-05
1	1	97	97	1.20665e-05
2	2	79	79	9.82734e-06
3	4	166	83	2.06499e-05
5	5	91	91	1.13201e-05
6	6	67	67	8.33458e-06
7	9	166	55.3333	2.06499e-05
10	11	212	106	2.63721e-05
12	14	198	66	2.46306e-05
15	18	274	68.5	3.40847e-05
19	24	435	72.5	5.41126e-05
25	30	449	74.8333	5.58541e-05
31	38	648	81	8.06091e-05
39	49	909	82.6364	0.000113077
50	62	1268	97.5385	0.000157735
63	78	1726	107.875	0.000214709
79	99	2534	120.667	0.000315221
100	124	4690	187.6	0.000583421
125	157	31338	949.636	0.00389835
158	198	29527	720.171	0.00367306
199	250	37270	716.731	0.00463627
251	315	47823	735.738	0.00594903
316	397	61760	753.171	0.00768274
